Season,prec
1989-01,9
1989-02,8
1989-04,10
1989-03,7
1990-01,10
1990-02,9
1990-04,10
1990-03,8
1992-01,9
1992-02,9
1992-04,10
1992-03,8
1994-01,9
1994-02,9
1994-04,9
1994-03,8
1996-01,9
1996-02,9
1996-04,8
1996-03,8
1998-01,8
1998-02,8
1998-04,9
1998-03,7
2001-01,8
2001-02,8
2001-04,10
2001-03,7
2003-01,7
2003-02,8
2003-04,9
2003-03,8
2005-01,8
2005-02,9
2005-04,9
2005-03,8
2007-01,9
2007-02,8
2007-04,10
2007-03,8
2009-01,8
2009-02,8
2009-04,9
2009-03,8
2010-01,9
2010-02,8
2010-04,9
2010-03,9
2012-01,8
2012-02,8
2012-04,8
2012-03,7
1991-01,10
1991-02,9
1991-04,9
1991-03,8
1993-01,9
1993-02,10
1993-04,10
1993-03,9
1995-01,8
1995-02,10
1995-04,9
1995-03,9
1997-01,9
1997-02,9
1997-04,10
1997-03,8
1999-01,7
1999-02,8
1999-04,9
1999-03,7
2000-01,9
2000-02,8
2000-04,10
2000-03,7
2002-01,9
2002-02,8
2002-04,6
2002-03,6
2004-01,9
2004-02,8
2004-04,9
2004-03,7
2006-01,10
2006-02,8
2006-04,10
2006-03,8
2008-01,9
2008-02,8
2008-04,10
2008-03,9
2011-01,9
2011-02,9
2011-04,10
2011-03,7
2013-01,8
2013-02,8
2013-04,9
2013-03,6
